lsid,osmid_start,osmid_end
115628942,1305844840,1305844820
115628926,1305844540,1305844820
115628951,1305844582,1305844820
115628899,1305844551,1305845093
380377050,4293524083,1354654314
182002399,3190233378,1354654340
461933799,4573658010,1393632180
64095972,7580384082,1420034165
64095976,7580384128,1420034165
130049565,1433561009,1433561010
52530439,262627584,1438811930
548620977,1305104098,1448514107
22911813,1450714331,1450714333
135562153,1488733415,1488733369
318991470,1800891551,1574700804
416558013,6779257192,1577446829
410060301,1577446574,1577446829
42981178,1889696716,1597336163
385566749,1626536055,1626536074
265377502,5140753585,1632045669
150405916,6521013195,1633228656
151525363,1643382333,1643382331
227831575,1671098367,1671098369
82166049,304971193,1689061752
157737860,1699924869,1699924846
603501811,1700206824,1700206828
172425361,1796928112,1796928113
168573878,1798180331,1798180324
169729655,1808907137,1808907144
24257013,262630979,1811908021
157996499,1811907999,1811908034
170138160,1812844765,1812849195
170138160,1812849202,1812849292
170261056,1814109149,1814109078
170262319,1814122272,1814122255
170262322,1814122273,1814122287
420028914,4200151208,1838732271
173822614,6779257196,1845843950
173975419,4573657585,1847169768
173983041,1847244052,1847244037
176165620,1867205983,1867205978
176545276,1870491386,1870491387
176921896,4230026846,1874057025
6311532,2203156215,1877683067
209571731,1893287831,1893287829
181454054,1918756532,1918756520
75795749,1918760361,1918760359
182880643,1932396488,1932396475
182880636,1932396473,1932396475
183259494,8435191471,1936435912
184608397,1951063018,1951063013
139897014,3867795298,1987035333
198925743,2089945939,2089945962
363181982,2100417925,2100417924
200167039,27768331,2100417924
196675613,2069764744,2101937989
81059836,2113675552,2113675566
232811269,817694308,2120000041
203460426,2134755263,2134755262
203583572,2134755263,2135926390
82113819,2136486485,2136486504
323986340,3659202664,2139250684
146824255,6669976585,2139250684
913576466,259401002,2162416348
207292912,3977877802,2174856911
207308658,2175035372,2175035374
213123333,4394190495,2228735447
213123337,4394190186,2228735447
226418289,2352476977,2352476952
635165375,5992287856,2354908637
227831584,2364712988,2364712983
227965594,2352405222,2365945139
227969886,2365980292,2365980293
228197600,2368313053,2368313045
228197595,7198185207,2368313045
228370287,2370538087,2370538086
232877386,2411873517,2411873512
232884780,2411958287,2411958293
41455210,674504681,2411981562
240703772,2484121613,2484121611
34469951,2505368226,2505368209
254134301,2599516861,2599516961
254230167,2600261834,2600261819
64464297,274118012,2607135240
222813248,804223737,2688078468
263220390,5911117295,2688427429
139964392,2725058731,2725058728
284250922,2879966557,2879966555
284250936,2879966911,2879966913
260765789,2926106807,2925968032
293815507,2974003364,2974003369
293815505,2974003368,2974003369
293825262,2974082376,2974082377
308921880,3142053516,3142053519
363181980,2093417481,3142053519
833657355,3153505467,3153505476
313710120,3197278454,3197278452
65429549,3260851051,3260851041
320255339,1249805950,3267550716
320260796,3267593512,3267593511
327399717,4144048836,3341848410
330519331,3374843181,3374843184
331264164,3383211613,3383211610
331264163,3383211601,3383211610
338381706,3454580615,3454580602
554505169,3454580807,3454580806
120053749,3466174846,3466174843
6313638,3472381261,3472381263
24386845,264623287,3476472689
343960935,3507439713,3507439714
106359256,1392137328,3509321145
353042237,3588232594,3588232595
169221581,4256938919,3594068745
417106719,4177271472,3594068745
709628029,1938284310,3594068745
355405181,3610256085,3610256070
355405180,3610256069,3610256070
355553049,3611463618,3611463619
360433461,3649802460,3649802461
360433449,3649802536,3649802537
360433440,3649802538,3649802537
361090717,3656097973,3656097969
361092593,3656123687,3656123686
89406340,3656974991,3656974992
361193683,3657008088,3657008084
361193680,3657008083,3657008084
361194764,3657020050,3657020049
360429738,3657706413,3657706414
361274957,3657737778,3657737779
361274950,3657740635,3657737779
89419622,1037159481,3658112046
361611086,3660711206,3660711202
338381714,3660742099,3660742100
361614935,3660742109,3660742108
89406346,3660742112,3660742108
361618490,3660778251,3660778276
361618492,3660778275,3660778276
361809835,3662350246,3662350252
89426535,1037207671,3665217760
364381904,3684160932,3684160933
365598306,7406434163,3695984470
24386760,3774634338,3774634365
424764048,3774634346,3774634383
416720167,1200624859,3817358901
379803812,3831461112,3831461098
565100626,3831544280,3831544267
150283100,1632045655,3839568283
27773445,304961609,3840430739
381247770,7325705900,3844827657
326617514,1790681576,3862766216
386307441,3896268731,3896268735
390189038,3933514638,3933514642
395851310,3986498125,3986498124
65442862,4016689957,4016689956
115628907,1305844782,4043623364
459049666,2130819397,4051000036
402691050,4051000191,4051000192
404402104,4066799554,4066799552
131875138,340508320,4066799552
375760142,27782603,4107994252
408903563,4108070490,4108070491
409039644,4108070492,4108070493
409073033,4109620065,4109620064
410617123,4124213168,4124213170
34960899,4177143990,4177143139
130049566,4380291748,4177271478
418090812,4185447029,4185447041
418606066,4189909197,4189909195
534966751,4243603596,4193918008
419323829,4194132606,4194131891
420043336,4200296997,4200296996
420043343,1366228523,4200297016
420043343,4200297017,4200297024
420043345,4200297023,4200297024
420096875,4200762102,4200762103
420359118,4202989301,4202987227
420359105,4202987234,4202987227
383621148,7541444370,4202989359
420359133,3866717367,4202989359
421161806,4209786508,4209786507
355553041,4200791618,4225949868
422866770,6323330849,4225949868
422970562,4226873767,4226873769
422970591,8084669913,4226873941
424388508,817746190,4238114867
126483658,8290314368,4249353083
242086107,308851324,4249353083
35160432,6164835871,4261061744
427102527,3536500476,4263406100
429890770,4290912388,4290912383
430089038,4293524307,4293524306
131904953,4294454565,4294454567
430417712,4296996083,4296996081
162842041,1787212074,4296996081
432837447,4317908782,4317908783
825449630,7707514034,4327171442
825449612,7707513939,4327171442
81112774,3831495591,4327746016
6312326,33781691,4327746057
437449421,4352651996,4352651941
53189098,4357609748,4357592783
438576116,1854997368,4363141455
440721219,4384995387,4384995388
441619580,4393568843,4393568844
442019510,4397103400,4397103401
74339980,878781539,4404538769
256582492,878781388,4404538789
