lsid,highway
56192032,residential
56193033,residential
56195001,residential
56301969,unclassified
56302015,residential
57050169,service
57050181,service
57050210,service
57050217,service
57050240,service
57050264,service
57050302,service
57050322,service
57050761,service
57378752,residential
174116463,residential
174117879,secondary
174126215,residential
174126216,residential
174126217,residential
174126218,residential
174271674,service
174271675,service
174273244,service
174273245,service
174334513,pedestrian
174359319,unclassified
174440630,service
174440631,service
174440632,service
174440633,service
174440634,service
174440635,service
174440636,service
174847017,footway
174847020,service
174847021,service
174847022,footway
174847023,service
174847024,unclassified
175032530,pedestrian
175843105,tertiary
175854458,residential
176135129,tertiary
176165616,residential
176165618,residential
176165619,service
176165620,service
176305715,residential
176306425,residential
219736271,unclassified
219736272,residential
219780143,residential
219780144,service
219780145,residential
219791460,tertiary
219791462,residential
219791464,residential
219791467,steps
219791468,pedestrian
219791470,pedestrian
219983136,tertiary
219983281,residential
220086746,tertiary
220597713,steps
220597720,residential
220597749,steps
220597750,footway
220597752,service
220597754,footway
220923941,residential
221050521,residential
221058153,tertiary
221306066,service
221306067,service
221306068,service
221306069,service
221306070,unclassified
221385153,track
221385919,track
221386726,track
221386855,track
221386927,track
221387051,track
221387185,service
221388037,track
221388087,track
221388207,track
221530052,service
221530053,service
221530054,service
221530056,service
221530057,service
221530058,service
221530059,service
221530691,service
571826772,footway
572418118,steps
572418139,service
572418140,service
572418141,service
572418142,service
572418143,service
572418158,footway
572418169,service
572418170,service
572418171,service
572418172,service
572418173,service
572648927,residential
572648936,service
572838916,service
572838923,service
572838924,service
572838932,service
572838938,service
572838939,service
572838940,service
572838941,service
572838942,service
572838943,service
572838944,service
572838945,service
572838946,service
572838948,service
572838949,service
572838950,service
572838951,service
572838952,service
572838953,service
572838955,service
572838956,service
572838958,service
572838960,service
573253425,residential
573681899,service
573681905,service
573681911,service
573681918,service
573681926,residential
573681932,service
573681937,service
573681943,service
573681944,service
573681945,service
573681946,service
573681947,service
573681948,service
573681949,service
573681950,service
573681951,service
573681952,service
573681953,residential
573681955,service
573681956,service
573681957,service
573681965,service
573681968,service
573681969,service
573681971,service
573681974,service
573681975,service
574084651,service
574084658,service
574084670,service
574425476,service
574425477,footway
574425478,service
574425479,footway
574759919,residential
574759923,residential
574759924,footway
575120920,footway
575699296,pedestrian
575699297,footway
576103728,footway
576103732,service
576103733,service
576103734,service
576103735,footway
576103736,service
576229774,unclassified
576229775,service
576229776,service
576229777,service
576229778,service
576229780,service
576229790,service
576229800,service
576229808,service
576229838,service
576229848,service
576229909,residential
576229925,unclassified
576229983,service
576229984,service
576229985,service
576229986,service
576229988,service
576229989,service
576230000,footway
576230005,service
576230006,service
576230008,service
576230009,service
576230010,service
576230011,service
576230012,unclassified
576230017,service
576230019,service
576230024,footway
576230025,footway
576230029,service
576230030,service
576230036,path
576230037,path
576230039,service
576230074,service
576230090,service
576230098,service
576794388,bridleway
576794389,bridleway
576794390,bridleway
576907459,footway
576907460,footway
577143159,service
577143178,secondary
577143198,unclassified
577704076,service
577704077,service
577704087,service
577861559,steps
577861561,footway
577861562,footway
577861564,footway
577861566,footway
499609835,steps
499699722,footway
499699723,footway
499699725,footway
499699726,footway
499699727,footway
499699728,footway
499699729,footway
499699730,footway
499699731,steps
499699732,footway
499699733,footway
499940185,pedestrian
499985538,path
499985540,path
499985541,path
500097257,unclassified
500463307,pedestrian
500634071,footway
500983561,steps
500983562,steps
500983563,steps
500983565,footway
500983566,footway
500983568,footway
500983569,footway
500983571,footway
500983572,motorway_link
501645068,footway
501645069,pedestrian
501645070,service
502867276,service
503076347,pedestrian
503076348,steps
503076349,pedestrian
503076350,service
503310109,residential
503310110,residential
503310263,residential
503310264,residential
503310265,residential
503310266,residential
503310615,residential
503356965,living_street
548620970,footway
548620974,footway
548620975,steps
548620976,footway
548620977,steps
548620978,footway
548620979,footway
548620980,steps
548620981,steps
548620982,footway
548620983,steps
548620984,footway
548620985,steps
548892327,service
548892337,service
548892338,service
548892339,service
548892340,service
548892346,service
548892347,service
548892348,service
548892349,residential
549010609,service
549015589,pedestrian
549015590,footway
549015591,footway
549398371,residential
549398372,residential
550836746,service
550836747,service
550836748,service
551322086,tertiary
551322867,tertiary
551326635,cycleway
551326691,unclassified
551327143,unclassified
551968377,pedestrian
429575656,unclassified
429765743,unclassified
429765744,service
429765745,service
429765746,service
429765747,service
429890770,footway
429890771,footway
429890772,footway
429890773,footway
429890775,footway
429890776,footway
429890778,footway
429890779,footway
429890781,footway
429890783,service
429890789,footway
429890790,footway
429890791,footway
429890793,service
429890795,service
429890800,footway
429890802,service
429893268,service
429893269,service
429893270,service
429893271,service
429893272,service
429894629,service
429894630,footway
429894631,footway
429894632,footway
429894633,footway
429894634,footway
429894636,footway
429894637,footway
429894638,footway
429894639,footway
429894640,footway
429894641,footway
429894642,footway
429894643,service
430026090,tertiary
430026091,tertiary
430026142,tertiary
430026143,tertiary
430026148,tertiary
430030137,tertiary
430089017,secondary
430089018,primary
430089019,tertiary
430089020,secondary
430089026,secondary
430089027,secondary
