,edge_id,from_node_id,to_node_id
0,0,4019,560
1,1,4019,292
2,2,4019,2144
3,3,4019,6396
4,4,4020,7759
5,5,4020,5337
6,6,4020,5098
7,7,4020,3965
8,8,4021,7335
9,9,4021,5030
10,10,4021,2489
11,11,4021,4513
12,12,4022,3792
13,13,4022,6954
14,14,4022,5809
15,15,4022,6074
16,16,4023,7022
17,17,4023,5105
18,18,4024,574
19,19,4024,4068
20,20,4024,4881
21,21,4025,4301
22,22,4025,6209
23,23,4026,4026
24,24,4026,3353
25,25,4026,1936
26,26,4027,3756
27,27,4027,6670
28,28,4027,3376
29,29,4029,165
30,30,4029,1769
31,31,4029,258
32,32,4029,5112
33,33,2112,6426
34,34,2112,4908
35,35,2112,2531
36,36,2112,2351
37,37,1205,3578
38,38,1205,1381
39,39,1205,6610
40,40,4030,6682
41,41,4030,3493
42,42,4033,6170
43,43,4033,654
44,44,4033,817
45,45,4033,5702
46,46,4034,2503
47,47,4034,3842
48,48,4034,3843
49,49,4035,990
50,50,4035,4552
51,51,4035,2432
52,52,4035,460
53,53,940,160
54,54,940,994
55,55,940,1694
56,56,2987,160
57,57,2987,2214
58,58,4036,4977
59,59,4036,978
60,60,4036,4982
61,61,4036,6144
62,62,4037,1470
63,63,4037,5208
64,64,4038,5327
65,65,4038,214
66,66,4038,3459
67,67,4039,4039
68,68,4039,2241
69,69,4039,4103
70,70,4040,4055
71,71,4040,4987
72,72,4040,7362
73,73,4041,4200
74,74,4041,5181
75,75,4041,6158
76,76,4041,5437
77,77,4042,6801
78,78,4042,3707
79,79,4042,6547
80,80,4043,6356
81,81,4043,3275
82,82,4043,2884
83,83,4044,4746
84,84,4044,3655
85,85,4044,7354
86,86,4044,7032
87,87,4045,5610
88,88,4045,1590
89,89,4045,5736
90,90,4046,6963
91,91,4046,2518
92,92,4046,7463
93,93,4046,7311
94,94,4047,4905
95,95,4047,3552
96,96,4048,4577
97,97,4049,4526
98,98,4049,3728
99,99,4049,3979
100,100,4049,6329
101,101,4050,5218
102,102,4050,7595
103,103,4050,5495
104,104,4050,2235
105,105,4051,7796
106,106,4051,640
107,107,4051,866
108,108,4052,4981
109,109,4052,5696
110,110,4052,5007
111,111,4052,7551
112,112,4053,7950
113,113,4053,4335
114,114,4053,4848
115,115,4053,4140
116,116,4054,810
117,117,4054,3086
118,118,4054,4054
119,119,1781,149
120,120,1781,5557
121,121,1781,2819
122,122,4055,7362
123,123,4055,5418
124,124,4055,3453
125,125,4056,5130
126,126,4056,6094
127,127,4056,4636
128,128,4057,6025
129,129,4057,493
130,130,4057,4189
131,131,4058,4556
132,132,4058,3778
133,133,4059,1111
134,134,4059,4396
135,135,4059,5991
136,136,4059,7404
137,137,4060,2081
138,138,4060,4971
139,139,4060,4294
140,140,4061,3440
141,141,4061,1515
142,142,4061,2269
143,143,4061,7676
144,144,4062,7128
145,145,4062,5710
146,146,4062,2747
147,147,4062,2929
148,148,4063,7842
149,149,4063,5445
150,150,4063,3176
151,151,4064,5199
152,152,4064,4558
153,153,4064,7870
154,154,4065,4441
155,155,4065,6538
156,156,4065,6351
157,157,4066,4587
158,158,4066,3305
159,159,4066,6837
160,160,4066,5149
161,161,4067,5097
162,162,4067,5224
163,163,4067,4397
164,164,4068,2501
165,165,4068,5394
166,166,4069,4624
167,167,4069,95
168,168,4069,1074
169,169,4070,5161
170,170,4070,5249
171,171,4070,4836
172,172,4072,2128
173,173,4072,7145
174,174,4073,5326
175,175,4073,649
176,176,4074,3455
177,177,4074,4775
178,178,4074,3948
179,179,4075,6046
180,180,4075,45
181,181,4075,4595
182,182,4076,4637
183,183,4076,1473
184,184,4076,6845
185,185,4076,2611
186,186,4077,7917
187,187,4077,6
188,188,4077,3801
189,189,4077,3338
190,190,4078,4641
191,191,4078,7300
192,192,4078,559
193,193,4079,3758
194,194,4079,4400
195,195,4079,4582
196,196,4080,7071
197,197,4080,6700
198,198,4080,3372
199,199,4081,7186
200,200,4081,7237
201,201,4081,7645
202,202,4082,698
203,203,4082,7849
204,204,4082,2143
205,205,4082,4688
206,206,4083,6000
207,207,4083,1553
208,208,4083,5862
209,209,4083,6662
210,210,4084,3225
211,211,4084,881
212,212,4084,3489
213,213,4085,3711
214,214,4085,3521
215,215,4085,7653
216,216,4086,7314
217,217,4086,5621
218,218,4086,6104
219,219,4087,4328
220,220,4087,4922
221,221,4087,5520
222,222,4087,4250
223,223,4088,4526
224,224,4088,7060
225,225,4088,6727
226,226,4088,2264
227,227,4089,4178
228,228,4089,6594
229,229,4090,5465
230,230,4090,5515
231,231,4090,6263
232,232,4091,4510
233,233,4091,1227
234,234,4092,2297
235,235,4092,1534
236,236,4092,3487
237,237,4093,810
238,238,4093,6616
239,239,4093,7609
240,240,4094,1577
241,241,4094,2046
242,242,4094,566
243,243,4095,6042
244,244,4095,5748
245,245,4095,4133
246,246,4095,6389
247,247,4096,5181
248,248,4096,6052
249,249,4096,7725
250,250,4097,4579
251,251,4097,640
252,252,4097,4311
253,253,4098,4102
254,254,4098,5846
255,255,4098,3217
256,256,4102,2682
257,257,4102,5846
258,258,4103,2397
259,259,4103,6221
260,260,4104,1431
261,261,4104,490
262,262,4104,5118
263,263,4105,4142
264,264,4105,3479
265,265,4106,1971
266,266,4106,6490
267,267,4106,7911
268,268,4106,915
269,269,4107,6300
270,270,4107,3614
271,271,4107,5874
272,272,4108,3570
273,273,4108,6623
274,274,4108,913
275,275,4108,3696
276,276,4110,4545
277,277,4110,6900
278,278,4110,6246
279,279,4110,2435
280,280,4111,2326
281,281,4111,1092
282,282,4111,4228
283,283,4111,686
284,284,4112,5719
285,285,4112,3748
286,286,4112,7743
287,287,4114,98
288,288,4114,4492
289,289,4114,4245
290,290,4114,4667
291,291,4115,5311
292,292,4115,3878
293,293,4115,5158
294,294,4117,4386
295,295,4117,2053
296,296,4117,4907
297,297,4117,7526
298,298,4118,3573
299,299,4118,4217
300,300,4118,6885
301,301,4118,3536
302,302,4119,3450
303,303,4119,408
304,304,4119,5718
305,305,4119,7305
306,306,4120,6555
307,307,4120,5000
308,308,4120,7920
309,309,1541,7149
310,310,1541,3541
311,311,1541,6454
312,312,4121,6621
313,313,4121,7812
314,314,4121,3725
315,315,4121,525
316,316,4122,4954
317,317,4122,5496
318,318,4122,5440
319,319,4122,2807
320,320,4123,6048
321,321,4123,4337
322,322,4123,7436
323,323,4123,1540
324,324,4124,732
325,325,4124,5583
326,326,4124,3511
327,327,4125,6644
328,328,4125,3511
329,329,4125,4277
330,330,4126,4573
331,331,4126,2555
332,332,4126,5747
333,333,4127,2030
334,334,4127,7636
335,335,4127,5667
336,336,4128,5398
337,337,4128,2745
338,338,4128,5055
339,339,4128,4539
340,340,4129,6889
341,341,4129,7415
342,342,4129,4936
343,343,4131,4660
344,344,4131,1149
345,345,4131,5323
346,346,4132,3295
347,347,4132,4446
348,348,4132,5308
349,349,1949,7540
350,350,1949,4820
351,351,1949,3006
352,352,1949,7151
353,353,4133,4447
354,354,4133,4792
355,355,4134,3963
356,356,4134,3772
357,357,4134,3294
358,358,4135,6088
359,359,4135,4135
360,360,4135,5178
361,361,4136,2550
362,362,4136,535
363,363,4136,6114
364,364,4137,1988
365,365,4137,1663
366,366,4137,1822
367,367,4138,5316
368,368,4138,368
369,369,4138,5120
370,370,4138,4227
371,371,4139,7876
372,372,4139,3673
373,373,4139,5412
374,374,4139,4176
375,375,4140,1356
376,376,4140,4848
377,377,4141,7360
378,378,4141,5376
379,379,4141,1255
380,380,4142,4269
381,381,4142,155
382,382,4142,6544
383,383,4143,848
384,384,4143,7946
385,385,4143,5363
386,386,1704,3191
387,387,1704,5373
388,388,1704,555
389,389,4145,1670
390,390,4145,3481
391,391,4145,1092
392,392,4144,3867
393,393,4144,5861
394,394,4146,7741
395,395,4146,4306
396,396,4147,4681
397,397,4147,2952
398,398,4147,7404
399,399,4147,7378
400,400,4148,3791
401,401,4148,5006
402,402,4148,1304
403,403,4148,6911
404,404,4149,1815
405,405,4149,1922
406,406,4149,5689
407,407,4149,794
408,408,4151,4154
409,409,4151,2439
410,410,4151,7425
411,411,4152,3844
412,412,4152,1445
413,413,4152,2627
414,414,4153,3716
415,415,4153,3574
416,416,4153,6328
417,417,4153,6975
418,418,4154,4234
419,419,4154,6951
420,420,4154,6828
421,421,4155,3499
422,422,4155,4781
423,423,4155,6904
424,424,4155,746
425,425,4156,5273
426,426,4156,4894
427,427,4156,7464
428,428,4156,3856
429,429,4157,7352
430,430,4157,7134
431,431,4157,3991
432,432,4158,5698
433,433,4158,6319
434,434,4158,3533
435,435,4158,4205
436,436,4159,450
437,437,4159,4243
438,438,4160,2485
439,439,4160,6897
440,440,4160,2891
441,441,4160,6054
442,442,4161,3364
443,443,4161,567
444,444,4161,7885
445,445,4161,1191
446,446,4162,4720
447,447,4162,2751
448,448,4162,3341
449,449,4163,3324
450,450,4163,4950
451,451,4163,3432
452,452,4163,6526
453,453,4164,4485
454,454,4164,6372
455,455,4164,4287
456,456,4165,7343
457,457,4165,6002
458,458,4165,7945
459,459,4165,416
460,460,4166,3981
461,461,4166,3516
462,462,4167,7617
463,463,4167,3314
464,464,4168,2098
465,465,4168,4283
466,466,4168,3419
467,467,4169,4905
468,468,4169,7678
469,469,4169,275
470,470,4170,3564
471,471,4170,7873
472,472,4170,5917
473,473,4170,6894
474,474,4171,4807
475,475,4171,811
476,476,4171,860
477,477,4172,4731
478,478,4172,4447
479,479,4172,6015
480,480,2590,2521
481,481,2590,5232
482,482,2590,3107
483,483,4173,7330
484,484,4173,4892
485,485,4173,7449
486,486,4175,511
487,487,4175,2517
488,488,4175,5647
489,489,4175,6584
490,490,4176,6676
491,491,4176,5164
492,492,4174,4449
493,493,4174,6189
494,494,4174,373
495,495,4177,5223
496,496,4177,518
497,497,4177,706
498,498,4178,6148
499,499,4178,5347
500,500,4178,6412
501,501,4179,2424
502,502,4179,2031
503,503,4179,6892
504,504,4179,2541
505,505,4180,1787
506,506,4180,6925
507,507,4180,3932
508,508,2014,473
509,509,2014,3107
510,510,2014,2669
511,511,4181,5640
512,512,4181,4018
513,513,4182,3258
514,514,4182,3458
515,515,4182,3247
516,516,4184,4535
517,517,4184,3789
518,518,4184,713
519,519,4185,4661
520,520,4185,5926
521,521,4185,4682
522,522,4185,1955
523,523,4186,5167
524,524,4186,2266
525,525,4186,3991
526,526,4187,2661
527,527,4187,1124
528,528,4187,367
529,529,4187,2852
530,530,4188,2114
531,531,4188,243
532,532,4188,1189
533,533,4189,6025
534,534,4189,5264
535,535,4189,7411
536,536,4190,2756
537,537,4190,6944
538,538,4190,6373
539,539,397,3249
540,540,397,7670
541,541,397,1470
542,542,397,7228
543,543,4192,5160
544,544,4192,2523
545,545,4192,3278
546,546,4193,6509
547,547,4193,2456
548,548,4193,4506
549,549,4193,693
550,550,4194,2778
551,551,4194,5711
552,552,4194,6298
553,553,4195,5262
554,554,4195,7624
555,555,4195,2306
556,556,4195,2289
557,557,4196,3803
558,558,4196,703
559,559,4196,4267
560,560,4191,3816
561,561,4191,7735
562,562,4197,2155
563,563,4197,5609
564,564,4197,6515
565,565,4197,4841
566,566,4198,3280
567,567,4198,4934
568,568,4198,5117
569,569,4198,5268
570,570,1470,5442
571,571,1470,7216
572,572,4200,5234
573,573,4200,4770
574,574,4200,6107
575,575,4201,7054
576,576,4201,2013
577,577,4201,5619
578,578,4201,7708
579,579,4202,3090
580,580,4202,3889
581,581,4202,7391
582,582,4202,3793
583,583,4203,5095
584,584,4203,3460
585,585,4204,5807
586,586,4204,2109
587,587,4204,3652
588,588,4204,444
589,589,4205,2535
590,590,4205,3533
591,591,4206,6675
592,592,4206,4511
593,593,4206,2042
594,594,4206,5179
595,595,4208,3297
596,596,4208,1088
597,597,4208,7924
598,598,4209,4790
599,599,4209,3329
600,600,4209,3217
601,601,4210,6325
602,602,4210,7453
603,603,4210,3905
604,604,4211,837
605,605,4211,3428
606,606,4211,4762
607,607,4213,4652
608,608,4213,7382
609,609,4213,1186
610,610,4215,5546
611,611,4215,6253
612,612,4215,4549
613,613,4216,7655
614,614,4216,950
615,615,4216,7447
616,616,4217,2187
617,617,4217,6891
618,618,4217,4772
619,619,4218,7768
620,620,4218,5301
621,621,4218,5829
622,622,4218,150
623,623,4219,3408
624,624,4219,5382
625,625,4219,244
626,626,4219,2466
627,627,4220,7176
628,628,4220,5366
629,629,4220,7543
630,630,4221,450
631,631,4221,3355
632,632,4221,5193
633,633,4222,5035
634,634,4222,20
635,635,4222,7204
636,636,4223,5797
637,637,4223,5044
638,638,4223,2394
639,639,4223,6133
640,640,4224,279
641,641,4224,5187
642,642,4224,437
643,643,4225,4854
644,644,4225,2305
645,645,4225,1067
646,646,4226,7842
647,647,4226,1744
648,648,4226,3444
649,649,4226,2742
650,650,4227,6754
651,651,4227,7521
652,652,4228,5887
653,653,4228,4228
654,654,4229,6478
655,655,4229,4374
656,656,4229,7034
657,657,4229,6994
658,658,4230,778
659,659,4230,3549
660,660,4230,3530
661,661,4230,3917
662,662,4231,2614
663,663,4231,126
664,664,4231,4876
665,665,4233,2368
666,666,4233,3798
667,667,4233,1958
668,668,4233,5249
669,669,4234,3716
670,670,4234,7425
671,671,4234,4573
672,672,4235,6460
673,673,4235,5266
674,674,4235,3306
675,675,4236,5227
676,676,4236,5835
677,677,4239,7537
678,678,4239,859
679,679,4239,4330
680,680,4239,5436
681,681,4240,3933
682,682,4240,7377
683,683,4240,4415
684,684,4241,7176
685,685,4241,7187
686,686,4241,1683
687,687,4242,5755
688,688,4242,7180
689,689,4242,5666
690,690,4242,1100
691,691,4243,2951
692,692,4243,3605
693,693,4243,450
694,694,4244,1929
695,695,4244,5052
696,696,4244,5611
697,697,4244,2631
698,698,4245,1444
699,699,4245,3951
700,700,4245,379
701,701,4246,6125
702,702,4246,4932
703,703,4246,1740
704,704,4246,6303
705,705,4247,5257
706,706,4247,4624
707,707,4247,5275
708,708,4247,3891
709,709,1880,3993
710,710,1880,3982
711,711,1880,2819
712,712,4248,7054
713,713,4248,6190
714,714,4248,1680
715,715,4249,7928
716,716,4249,3289
717,717,4250,3506
718,718,4251,7898
719,719,4251,2158
720,720,4251,4251
721,721,4252,7027
722,722,4252,4561
723,723,4253,4701
724,724,4253,2543
725,725,4253,842
726,726,4253,5070
727,727,4254,5639
728,728,4254,1658
729,729,4254,5429
